japanese,pronounce,english
一緒,いっしょ,"① together ② at the same time ③ same, identical"
汚い,きたない,"dirty, unclean, filthy"
奥さん,おくさん,"wife, your wife, his wife, married lady, madam"
押す,おす,"① to push, to press ② to apply pressure from above, to press down ③ to stamp (i.e. a passport), to apply a seal"
果物,くだもの,fruit
過ぎ,すぎ,"① past, after ② too (much), over (e.g. eating)"
皆さん,みなさん,"all, everyone, everybody"
階段,かいだん,"stairs, stairway, staircase"
覚える,おぼえる,"① to remember, to recollect, to memorize, to memorise ② to feel"
甘い,あまい,"① sweet, delicious ② fragrant (smelling), sweet (music) ③ lightly salted ④ naive, overly optimistic, soft on, generous, indulgent, easy-going ⑤ half-hearted, not finished properly ⑥ tempting (e.g. words), promising"
危ない,あぶない,"① dangerous, risky, hazardous, perilous, precarious ② in danger, in jeopardy, critical, grave, at risk ③ uncertain, unreliable, insecure, unsteady, doubtful ④ close (i.e. a close call), narrow ⑤ look out!, watch out!"
机,つくえ,desk
喫茶店,きっさてん,"coffee lounge, coffee shop, (rather formal) cafe"
吸う,すう,"① to smoke, to breathe in, to inhale ② to suck, to sip, to slurp ③ to absorb, to soak up ④ to kiss"
牛乳,ぎゅうにゅう,(cow's) milk
狭い,せまい,"narrow, confined, small"
靴,くつ,"shoes, footwear"
靴下,くつした,"socks, sock, stockings, stocking"
警官,けいかん,policeman
結構,けっこう,"① splendid, nice, wonderful, delicious, sweet ② sufficient, fine (in the sense of ""I'm fine""), (by implication) no thank you ③ well enough, OK, tolerable ④ reasonably, fairly, tolerably"
結婚,けっこん,marriage
個,こ,① counter for articles ② counter for military units ③ individual
呼ぶ,よぶ,"① to call out (to), to call, to invoke ② to summon (a doctor, etc.) ③ to invite ④ to designate, to name, to brand ⑤ to garner (support, etc.), to gather"
厚い,あつい,"① thick, deep, heavy ② kind, cordial, hospitable, warm, faithful ③ serious (of an illness) ④ abundant"
紅茶,こうちゃ,black tea
降る,ふる,"to precipitate, to fall (e.g. rain)"
今晩,こんばん,"tonight, this evening"
困る,こまる,"to be troubled, to be worried, to be bothered, to be embarrassed, to be stumped"
座る,すわる,"① to sit, to squat ② to assume (a position) ③ to hold steady, to hold still"
財布,さいふ,"purse, handbag, wallet"
咲く,さく,to bloom
冊,さつ,counter for books
雑誌,ざっし,"journal, magazine, periodical"
子供,こども,"child, children"
辞書,じしょ,"dictionary, lexicon"
若い,わかい,young
授業,じゅぎょう,"lesson, class work"
初めて,はじめて,"① for the first time ② only after ... is it ..., only when ... do you ..."
寝る,ねる,"① to lie down ② to go to bed, to lie in bed ③ to sleep (lying down) ④ to sleep (with someone, i.e. have intercourse) ⑤ to lie idle"
辛い,つらい,"painful, bitter, heart-breaking"
吹く,ふく,"① to blow (wind, etc.), to play a wind instrument ② to emit, to spout ③ to whistle"
生徒,せいと,pupil
静か,しずか,"quiet, peaceful"
切符,きっぷ,ticket
洗濯,せんたく,"washing, laundry"
掃除,そうじ,"cleaning, sweeping"
窓,まど,window
大変,たいへん,"① very, greatly ② immense, enormous, great ③ serious, grave, dreadful, terrible ④ difficult, hard"
置く,おく,"① to put, to place ② to leave (behind) ③ to do something in advance (usu. following te-form verb)"
遅い,おそい,"① slow ② late (e.g. ""late at night"") ③ too late"
痛い,いたい,"① painful, sore ② exceeding"
閉まる,しまる,"to be shut, to close, to be closed"
渡す,わたす,"① to ferry across (a river, etc.), to carry across, to traverse ② to lay across, to build across ③ to hand over, to hand in, to pass, to give, to transfer"
渡る,わたる,"① to cross over, to go across ② to extend, to cover, to range, to span"
難しい,むずかしい,difficult
猫,ねこ,① cat ② shamisen ③ geisha ④ wheelbarrow ⑤ clay bed-warmer
熱い,あつい,hot (thing)
薄い,うすい,"① thin ② pale, light ③ watery, dilute, sparse ④ weak (taste, etc.) ⑤ slim (probability, etc.), small"
晩,ばん,① evening ② counter for nights
彼,かれ,"① he, him ② boyfriend"
彼ら,かれら,"they (usually male), them"
彼女,かのじょ,"① she, her ② girl friend, girlfriend, sweetheart"
疲れる,つかれる,"① to get tired, to tire ② to be worn out (e.g. of well used objects)"
飛行機,ひこうき,"aeroplane, airplane, aircraft"
必要,ひつよう,"① necessary, needed, essential, indispensable ② necessity, need, requirement"
封筒,ふうとう,envelope
並ぶ,ならぶ,"① to line up, to stand in a line ② to rival, to match, to equal"
並べる,ならべる,"① to line up, to set up ② to enumerate, to itemize"
閉める,しめる,"to close, to shut"
便利,べんり,"convenient, handy, useful"
帽子,ぼうし,"hat, cap"
忘れる,わすれる,"to forget, to leave carelessly, to be forgetful of, to forget about, to forget (an article)"
忙しい,いそがしい,"busy, hectic, occupied, engaged"
磨く,みがく,"① to polish, to shine, to brush (e.g. teeth) ② to refine, to improve"
枚,まい,counter for flat objects (e.g. sheets of paper)
毎晩,まいばん,every night
友達,ともだち,"friend, companion"
要る,いる,to need
欲しい,ほしい,"① wanted, wished for, in need of, desired ② (after the -te form of a verb) I want (you) to"
浴びる,あびる,"to bathe, to bask in the sun, to shower"
頼む,たのむ,"① to request, to beg, to ask ② to call, to order, to reserve ③ to entrust to ④ to rely on"
卵,たまご,"① eggs, egg, spawn, roe ② hen egg ③ (an expert) in the making"
涼しい,すずしい,"cool (of weather), refreshing"
冷たい,つめたい,"① cold (to the touch), chilly, icy, freezing ② coldhearted, unfeeling"
冷蔵庫,れいぞうこ,refrigerator
塩,しお,salt
可愛い,かわいい,"① cute, adorable, charming, lovely, pretty ② dear, precious, darling, pet ③ cute little, tiny"
居る,いる,"① to be (of animate objects), to exist ② to stay ③ (after the -te form of a verb) verb indicating continuing action or state (i.e. to be ..ing, to have been ..ing)"
ころ,ころ,"① (approximate) time, around, about, toward ② suitable time (or condition) ③ time of year, season"
ごろ,ごろ,"① (approximate) time, around, about, toward ② suitable time (or condition) ③ time of year, season"
いいえ,いいえ,"① no, nay ② well, er, why"
匹,ひき,① counter for small animals ② counter for rolls of cloth (two han in size) ③ roll of cloth
余り,あまり,"① remainder, rest, balance, remains, scraps, residue, remnant ② not very (with negative sentence), not much ③ surplus, excess, fullness, too much ④ overjoyed, overwhelmed ⑤ more than, over"
暖かい,あたたかい,"warm, mild, genial"
降りる,おりる,"① to alight (e.g. from bus), to get off, to disembark, to dismount ② to quit, to withdraw, to pull back (from a position, a job) ③ to form (of frost, dew, mist, etc.)"
交差点,こうさてん,"crossing, intersection"
段々,だんだん,"gradually, by degrees"
達,たち,pluralizing suffix (esp. for people & animals; formerly honorific)
椅子,いす,"① chair ② post, office, position"
鉛筆,えんぴつ,pencil
掛かる,かかる,"① to take ② to hang ③ to come into view, to arrive ④ to come under (a contract, a tax) ⑤ to start (engines, motors) ⑥ to attend, to deal with, to handle ⑦ to have started to, to be on the verge of ⑧ to overlap (e.g. information in a manual), to cover ⑨ to (come) at ⑩ to be fastened ⑪ to be covered (e.g. with dust, a table-cloth, etc.) ⑫ to be caught in ⑬ to get a call ⑭ to depend on"
鞄,かばん,"bag, satchel, briefcase, basket"
幾ら,いくら,"how much?, how many?"
貴方,あなた,① you (referring to someone of equal or lower status) ② dear (what a wife calls a husband)
鍵,かぎ,① key ② lock
玄関,げんかん,"entranceway, entry hall, vestibule, foyer"
砂糖,さとう,sugar
撮る,とる,"to take (a photo), to make (a film)"
傘,かさ,"umbrella, parasol"
大丈夫,だいじょうぶ,"safe, all right, OK, okay"
沢山,たくさん,"many, a lot, much"
脱ぐ,ぬぐ,"to take off (clothes, shoes, etc.), to undress"
誰,だれ,who
弾く,ひく,"to play (piano, guitar)"
丁度,ちょうど,"just, right, exactly"
貼る,はる,"to stick, to paste, to affix"
締める,しめる,"① to tie, to fasten ② to total, to sum ③ to be strict with ④ to economize (economise), to cut down on"
賑やか,にぎやか,"bustling, busy"
箸,はし,chopsticks
風呂,ふろ,"① bath, bathtub ② bathroom, bathhouse ③ room for drying lacquerware ④ base (wooden joint connecting the blade of a hoe, spade, etc., to the handle)"
弁当,べんとう,bento (Japanese box lunch)
僕,ぼく,"① I, me ② you (used addressing young children) ③ manservant"
殆ど,ほとんど,"mostly, almost"
本棚,ほんだな,"bookshelves, bookshelf, bookcase"
立派,りっぱ,"splendid, fine, handsome, elegant, imposing, prominent, legal, legitimate"
隣,となり,"neighbor (neighbour), next to (esp. living next door to)"
なぜ,なぜ,"why, how"
暇,ひま,"① spare time, free time, leisure ② time off, day off, vacation, holiday, leave ③ quitting (one's job), firing someone, divorcing (one's spouse) ④ (of one's time) free, (of one's business) slow ⑤ leaving, departing"
眼鏡,めがね,"① spectacles, glasses ② judgement, discrimination, discernment, insight"
丈夫,じょうぶ,"healthy, robust, strong, solid, durable"
風邪,かぜ,"cold (illness), common cold"
嫌,いや,"disagreeable, detestable, unpleasant, reluctant"
煙草,たばこ,"tobacco, cigarettes"
良い,よい,"① good, excellent, fine, nice, pleasant, agreeable ② sufficient (can be used to turn down an offer), ready, prepared ③ profitable (e.g. deal, business offer, etc.), beneficial ④ OK"
叔父,おじ,uncle (younger than one's parent)
叔母,おば,aunt (younger than one's parent)
嫌がる,いやがる,"to hate, to dislike"
あそこ,あそこ,"① there (place physically distant from both speaker and listener), over there, that place, yonder ② that far (something psychologically distant from both speaker and listener), that much, that point"
あの,あの,"that (someone or something distant from both speaker and listener, or situation unfamiliar to both speaker and listener)"
あれ,あれ,"① that (indicating something distant from both speaker and listener (in space, time or psychologically), or something understood without naming it directly) ② that person (used to refer to one's equals or inferiors) ③ hey (expression of surprise or suspicion), eh? ④ that (something mentioned before which is distant psychologically or in terms of time)"
こちら,こちら,"① this way (direction close to the speaker or towards the speaker), this direction ② here (place close to the speaker or where the speaker is) ③ this one (something physically close to the speaker) ④ I, me ⑤ this person (someone physically close to the speaker and of equal or higher status)"
こっち,こっち,"① this way (direction close to the speaker or towards the speaker), this direction ② here (place close to the speaker or where the speaker is) ③ this one (something physically close to the speaker) ④ I, me ⑤ this person (someone physically close to the speaker and of equal or higher status)"
